chain,apr,blockTime,blockHeight,inflation,tokenBonded,tokenSupply,tokenCommunity,validatorsActive,validatorsInactive,validatorsTotal,txs,tps,tpb,accountsMonthly,accountsTotal,marketGeckoId,marketPrice,marketCap,marketCapRank,marketFullyDilutedValuation,marketVolume,marketHigh24h,marketLow24h,marketChange24h,marketChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,marketSupplyCirculating,marketSupplyTotal,marketSupplyMax,marketAth,marketAthDate,marketAtl,marketAtlDate,marketPriceChangePercentage1h,marketPriceChangePercentage24h,marketPriceChangePercentage7d,marketPriceChangePercentage14d,marketPriceChangePercentage30d,marketPriceChangePercentage1y,timestamp,activeAccountCount
cosmos,0.170197,5.9124927,28143666,0.1,273564785,475097433,10338801,200,399,599,90088689,3.201028928,3.201028928,149148,2964308,cosmos,3.26,1548918693,85,1548938907,58168822,3.27,3.12,0.109418,3.474,52278447,3.493,475091265,475097465,0,44.45,1.64238E+12,1.16,1.58407E+12,-0.282,3.474,0.257,-6.484,-20.94,-25.201,1.76152E+12,8548
cosmos,0.170382,5.9117263,28129053,0.1,273176036,474938236,10335617,200,399,599,90063817,3.201807647,3.201807647,149884,2963831,cosmos,3.15,1496640246,84,1496659675,38398794,3.19,3.14,-0.03502158,-1.1,-15475965,-1.023,474933008,474939173,0,44.45,1.64238E+12,1.16,1.58407E+12,-0.232,-1.1,-1.081,0.487,-22.076,-33.015,1.76144E+12,8425
cosmos,0.170358,5.9148769,28114436,0.1,273123116,474779050,10332433,200,399,599,90037547,3.202537906,3.202537906,152980,2961796,cosmos,3.18,1512116210,82,1512135215,73589775,3.22,3.13,0.00265127,0.083,2371444,0.157,474773997,474779964,0,44.45,1.64238E+12,1.16,1.58407E+12,-0.125,0.083,0.276,6.94,-23.414,-33.277,1.76135E+12,6665
cosmos,0.17028,5.9168444,28099828,0.1,273156896,474619982,10329252,200,399,599,90015175,3.203406619,3.203406619,152980,2961796,cosmos,3.18,1509744765,81,1509744765,57040632,3.23,3.11,0.070955,2.281,33916080,2.298,474621615,474621615,0,44.45,1.64238E+12,1.16,1.58407E+12,0.12,2.281,-2.171,-21.382,-23.739,-31.56,1.76126E+12,6613
cosmos,0.170477,5.9324558,28085219,0.1,272749479,474460978,10326072,200,399,599,89986334,3.204046014,3.204046014,158561,2961310,cosmos,3.11,1475828685,81,1475847708,80925830,3.22,3.07,-0.08187279,-2.563,-38595851,-2.549,474455406,474461522,0,44.45,1.64238E+12,1.16,1.58407E+12,1.207,-2.563,-6.112,-25.173,-25.169,-35.004,1.76118E+12,7646
cosmos,0.170546,5.9067058,28070693,0.1,272545426,474302960,10322911,200,399,599,89957405,3.204673465,3.204673465,159732,2960249,cosmos,3.19,1514424535,81,1514445828,98814253,3.37,3.18,-0.08519392,-2.6,-39339300,-2.532,474298097,474304766,0,44.45,1.64238E+12,1.16,1.58407E+12,-1.628,-2.6,-8.041,-21.746,-28.001,-35.103,1.76109E+12,7546
cosmos,0.170499,5.901103,28056063,0.1,272531461,474143812,10319728,200,399,599,89926235,3.205233571,3.205233571,161070,2959857,cosmos,3.28,1553763835,82,1553763835,81729099,3.32,3.19,0.04680665,1.449,23065176,1.507,474145008,474145008,0,44.45,1.64238E+12,1.16,1.58407E+12,-0.513,1.449,-9.863,-23.349,-26.699,-29.487,1.761E+12,7059
cosmos,0.170504,5.908389,28041423,0.1,272433050,473984598,10316544,200,399,599,89899009,3.205936054,3.205936054,162462,2959857,cosmos,3.23,1530698659,82,1530698659,70034747,3.28,3.12,0.04610158,1.448,22563500,1.496,473985772,473985772,0,44.45,1.64238E+12,1.16,1.58407E+12,-1.025,1.448,-7.347,-22.398,-28.132,-27.529,1.76092E+12,7518
cosmos,0.170473,5.9069463,28026797,0.1,272391046,473825655,10313365,200,399,599,89873509,3.206699253,3.206699253,162830,2958798,cosmos,3.18,1508135159,83,1508135159,50873720,3.23,3.15,0.02785053,0.883,13519752,0.905,473826090,473826090,0,44.45,1.64238E+12,1.16,1.58407E+12,0.116,0.883,1.541,-22.95,-31.925,-26.117,1.76083E+12,6931
cosmos,0.170267,5.9124391,28012163,0.1,272628600,473666624,10310185,200,399,599,89847095,3.207431536,3.207431536,162830,2958798,cosmos,3.16,1494615407,83,1494615407,102559867,3.3,3.03,-0.09605192,-2.954,-44545508,-2.894,473666559,473666559,0,44.45,1.64238E+12,1.16,1.58407E+12,-0.659,-2.954,5.943,-26.738,-31.165,-26.606,1.76075E+12,6764
